,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
78961,2408,New Zealand,New Zealand,0,181,8,10.54,Harare,187,17,26.0
90697,2543,South Africa,South Africa,1,68,7,5.91,Chittagong,170,51,28.0
16387,217,New Zealand,England,1,60,8,8.18,Wellington,176,76,29.0
91658,2553,India,India,1,36,9,7.2,Mirpur,159,90,30.0
85086,2475,New Zealand,England,4,51,10,9.87,Hamilton,192,89,31.0
97399,2620,Sri Lanka,Sri Lanka,1,53,9,8.37,Southampton,140,82,32.0
34996,713,Pakistan,West Indies,6,38,9,9.5,Karachi,172,96,30.0
69734,2317,England,England,6,200,4,10.08,Johannesburg,202,1,27.0
29530,557,South Africa,Australia,1,12,10,10.29,Abu Dhabi,118,113,28.0
85265,2476,New Zealand,England,1,97,6,6.61,Wellington,139,32,32.0
5115,57,Pakistan,New Zealand,1,119,8,9.27,Auckland,201,43,35.0
22155,420,South Africa,England,1,3,10,6.0,Cape Town,191,117,35.0
34400,623,India,South Africa,1,116,9,9.8,Delhi,211,49,35.0
59303,2219,Australia,Australia,1,109,6,9.08,Auckland,214,48,37.0
97068,2617,England,Pakistan,2,88,4,6.95,Sharjah,154,44,38.0
26047,467,South Africa,West Indies,4,92,9,9.68,St George's,166,63,40.0
78691,2405,West Indies,West Indies,0,97,7,7.1,London,125,38,35.0
87621,2503,West Indies,England,0,24,10,12.0,Barbados,170,108,33.0
26314,469,West Indies,South Africa,4,78,6,6.59,St George's,167,49,32.0
95970,2606,South Africa,Australia,1,150,6,9.09,Johannesburg,204,21,36.0
71881,2339,Australia,India,0,94,10,9.56,Barbados,184,61,35.0
82526,2443,Pakistan,Pakistan,0,61,9,6.91,Mirpur,135,67,33.0
25705,464,India,Sri Lanka,1,90,8,6.28,Colombo,132,34,33.0
29346,522,New Zealand,Bangladesh,4,50,8,4.92,Dhaka,93,59,35.0
67574,2298,New Zealand,Pakistan,1,56,6,5.6,London,99,60,35.0
49478,1344,New Zealand,Australia,2,170,9,10.85,Wellington,215,26,35.0
16755,220,New Zealand,England,4,93,9,14.68,Auckland,146,82,35.0
57886,1916,India,South Africa,1,70,9,12.0,Centurion,219,85,35.0
25747,465,India,Sri Lanka,0,5,9,6.0,Colombo,81,115,36.0
76961,2389,West Indies,Pakistan,0,118,7,7.87,St Lucia,150,30,37.0
68305,2304,South Africa,South Africa,1,62,8,6.53,Nottingham,130,63,41.0
97883,2624,Pakistan,Pakistan,4,42,9,7.88,Auckland,171,88,42.0
14926,200,Australia,Australia,1,118,6,9.57,Johannesburg,196,46,42.0
67317,2296,India,West Indies,0,47,7,6.0,London,153,73,42.0
64804,2270,Australia,Australia,0,72,8,9.0,Barbados,97,72,39.0
31252,574,Bangladesh,Australia,1,33,6,5.5,Dubai,73,84,35.0
23910,434,England,Sri Lanka,1,34,10,6.58,Southampton,180,89,35.0
72746,2346,New Zealand,New Zealand,0,53,9,6.24,St Lucia,149,69,34.0
63804,2259,India,India,1,71,1,4.22,Melbourne,74,19,35.0
79109,2410,Pakistan,Pakistan,4,32,10,11.29,Dubai,144,103,29.0
47984,1329,Australia,England,1,87,9,14.11,Southampton,179,83,32.0
90574,2542,West Indies,West Indies,4,59,9,4.85,Mirpur,129,47,29.0
3125,29,New Zealand,Australia,1,237,4,11.75,Auckland,243,0,28.0
79621,2417,New Zealand,New Zealand,0,34,9,5.67,Pallekele,191,84,28.0
95710,2590,Sri Lanka,Pakistan,0,105,5,7.41,Colombo,172,35,24.0
44020,1073,Pakistan,New Zealand,4,70,8,8.08,Lahore,182,68,24.0
17972,247,Sri Lanka,New Zealand,1,87,8,7.46,Kandy,161,50,24.0
43578,1058,England,New Zealand,4,97,9,9.39,Nottingham,175,58,21.0
61677,2242,Bangladesh,Bangladesh,0,119,4,7.85,Cape Town,144,29,24.0
76132,2383,Pakistan,Pakistan,0,5,10,7.5,Auckland,143,116,36.0
47179,1253,West Indies,India,0,128,6,7.53,Tarouba,149,18,35.0
27589,481,Australia,Sri Lanka,3,151,4,7.81,Sydney,164,4,34.0
60331,2227,New Zealand,Sri Lanka,1,154,4,8.4,Wellington,162,10,34.0
25391,449,West Indies,England,0,37,10,8.54,Bridgetown,179,94,34.0
70413,2323,New Zealand,New Zealand,1,84,10,8.26,Colombo,170,59,34.0
4519,52,Sri Lanka,India,1,52,8,9.75,Colombo,170,88,35.0
11383,130,Bangladesh,West Indies,6,109,9,10.06,Dhaka,211,55,35.0
21869,414,New Zealand,Bangladesh,0,69,10,13.8,Auckland,141,90,36.0
30704,567,Sri Lanka,South Africa,0,97,5,6.13,Sharjah,142,25,35.0
70398,2323,New Zealand,New Zealand,0,62,10,8.09,Colombo,170,74,35.0
87689,2503,West Indies,England,0,110,8,8.25,Barbados,170,40,32.0
59219,2218,England,Australia,1,159,4,8.59,Southampton,179,9,31.0
62657,2250,New Zealand,New Zealand,0,91,6,7.09,Durban,153,43,30.0
85713,2480,Australia,Sri Lanka,6,53,8,6.12,Sydney,137,68,29.0
59217,2218,England,Australia,1,158,5,8.7,Southampton,179,11,33.0
64546,2265,England,England,0,193,2,9.57,Christchurch,193,0,33.0
57954,1916,India,South Africa,1,171,6,10.47,Centurion,219,22,34.0
45960,1221,South Africa,Australia,4,6,9,7.2,Durban,190,115,30.0
61040,2236,West Indies,West Indies,0,91,9,7.28,Johannesburg,164,45,27.0
68165,2303,Sri Lanka,Sri Lanka,0,53,8,7.76,Nottingham,158,79,27.0
17452,228,West Indies,West Indies,0,37,5,4.72,Lauderhill,95,73,24.0
39799,980,New Zealand,Pakistan,2,54,9,6.48,Christchurch,147,70,20.0
64116,2262,New Zealand,New Zealand,1,67,6,6.59,Johannesburg,129,59,19.0
5779,66,India,England,1,1,10,1.2,Cardiff,148,115,19.0
77720,2395,Australia,India,1,136,7,8.59,Sydney,171,25,20.0
57534,1836,Pakistan,New Zealand,1,53,5,5.05,Wellington,128,57,21.0
